,chain,protocol,current_usd_tvl,max_usd_tvl,launch_date,totalLiquidityUSD,last_day_tvl,month,quarter,start_of_month_tvl,monthly_tvl_share,start_of_quarter_tvl,quarterly_tvl_share,chains_tvl_share,chains_tvl_share_floor,chains_tvl_share_floor_sort,monthly_tvl_floor,monthly_tvl_share_floor,monthly_tvl_share_floor_sort,num_protocols_threshold,num_protocols,num_protocols_threshold_pct_chain,num_protocols_threshold_pct_share
793,Polygon,nft20,23.65864,107.62034,2021-11-12,5047914445.25541,4969980500.611187,2021-11-01,2021Q4,5055038415.657716,14.75551239254096,4383704677.116872,20.201668524484514,13.39488261516267,10.0,10.0,5000000000.0,10.0,10.0,0,1,0.0,0.0
317,Avalanche,xdao,26.55168,4352.48502,2022-01-18,10453882237.832619,10931415671.679127,2022-01-01,2022Q1,11779556274.237226,32.38510042317888,11532621710.127325,32.68793118690901,29.982827678770192,25.0,25.0,10000000000.0,30.0,30.0,0,1,0.0,0.0
472,Fantom,onx-finance,27.3172,277341.1385,2022-03-08,6981921609.918125,7005456434.014554,2022-03-01,2022Q1,11738761494.226648,32.30033435533891,4884712105.945583,13.84517217336593,23.754174877359752,20.0,20.0,6000000000.0,30.0,30.0,0,1,0.0,0.0
225,Avalanche,iron-finance,27.651079999999997,4264974.7496,2021-09-09,2066230375.1318336,2017735544.4299972,2021-09-01,2021Q3,2275609310.9210134,17.697832735356588,192014292.6749633,2.7902668775830692,12.742992286166317,10.0,10.0,2000000000.0,15.0,15.0,0,1,0.0,0.0
308,Avalanche,treehouse-finance,29.33839,24967.99963,2022-02-24,10359008372.695621,10437348167.2941,2022-02-01,2022Q1,9189638395.603996,27.43066062669577,11532621710.127325,32.68793118690901,34.1014265270703,30.0,30.0,10000000000.0,25.0,25.0,0,1,0.0,0.0
862,Polygon,wan-bridge,31.34348,32.62414,2022-09-12,1746121561.539184,1776848959.5131438,2022-09-01,2022Q3,2031969337.933902,22.24975690480689,1656330111.5348358,19.186988957176066,20.37821629215733,20.0,20.0,1000000000.0,20.0,20.0,0,1,0.0,0.0
699,Polygon,dexpad,31.67705,37.84158,2022-06-30,1666698596.3684208,1713893508.9616148,2022-06-01,2022Q2,2480230308.705626,18.656270054907527,4482229770.711526,13.92425473511868,19.057695679691637,15.0,15.0,1000000000.0,15.0,15.0,0,1,0.0,0.0
122,Avalanche,avalps,33.37438,468827.27412,2021-12-29,11602014041.355585,11949173704.161224,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,32.468476813017425,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
541,Fantom,zeus-finance,41.11671,35006.2898,2022-04-21,5626838673.113849,5734198928.98234,2022-04-01,2022Q2,6914473791.623877,20.78921139881647,6626844273.719033,20.58659918779185,19.058962894062216,15.0,15.0,5000000000.0,20.0,20.0,0,1,0.0,0.0
147,Avalanche,tranche-finance,44.34449,141.49812,2022-02-17,11094899092.132626,10973264907.746304,2022-02-01,2022Q1,9189638395.603996,27.43066062669577,11532621710.127325,32.68793118690901,31.96167016415047,30.0,30.0,11000000000.0,25.0,25.0,0,1,0.0,0.0
121,Avalanche,amogus-dao,44.7696,54036.56562,2021-12-29,11602014041.355585,11949173704.161224,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,32.468476813017425,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
313,Avalanche,vortex-dao,45.09783000000001,1729229.57873,2021-12-19,11951664464.949389,11607046777.71242,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,34.327764067802356,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
135,Avalanche,avaviking,47.98213,21797.58762,2021-12-28,11949173704.161224,12149494818.309942,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,32.47289177097952,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
530,Fantom,unifi,52.92592,96.6722,2022-07-10,882806013.9549509,880793172.4779567,2022-07-01,2022Q3,846860885.5885595,9.94964650527309,861661362.6214986,9.981516929692225,9.75628340927702,5.0,5.0,0.0,5.0,5.0,0,1,0.0,0.0
67,Arbitrum,liquidrium,62.02105,41655.68654,2021-12-28,1961149296.0394242,1948203432.0584445,2021-12-01,2021Q4,2043142467.7529128,5.008582138057935,1073899895.9495308,4.948912238476607,5.2071135584783965,5.0,5.0,1000000000.0,5.0,5.0,0,1,0.0,0.0
252,Avalanche,nord-finance,95.13574999999999,706793.25434,2022-04-20,11100249333.63711,11004666058.11559,2022-04-01,2022Q2,11177365080.74134,33.60611559866927,11036804006.080185,34.286343695817095,36.99133575056507,35.0,35.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
531,Fantom,zest-protocol,95.65819,45982.46831,2022-07-10,882806013.9549509,880793172.4779567,2022-07-01,2022Q3,846860885.5885595,9.94964650527309,861661362.6214986,9.981516929692225,9.75628340927702,5.0,5.0,0.0,5.0,5.0,0,1,0.0,0.0
534,Fantom,xdao,96.41082,2075.59664,2022-01-18,7650778257.680281,7945543310.199988,2022-01-01,2022Q1,5271454870.493362,14.49261681703181,4884712105.945583,13.84517217336593,21.79313851371806,20.0,20.0,7000000000.0,10.0,10.0,0,1,0.0,0.0
685,Polygon,cyberfantasyfembots,100.39871999999998,13623.198469999998,2021-12-29,5571953226.0973835,5723096545.307154,2021-12-01,2021Q4,5121508472.082664,12.554922751616838,4383704677.116872,20.201668524484514,15.55088511394346,15.0,15.0,5000000000.0,10.0,10.0,0,1,0.0,0.0
107,Avalanche,88mph,106.0555,7117.871379999999,2021-10-16,6758977634.298301,6612626219.720566,2021-10-01,2021Q4,4061299510.651592,18.053727231106283,3823265970.3443656,17.618967859996502,22.411935969389823,20.0,20.0,6000000000.0,15.0,15.0,0,1,0.0,0.0
407,Fantom,dopple-finance,121.80877000000001,4164.83444,2021-10-21,4486749643.753109,5432216250.454348,2021-10-01,2021Q4,1589381908.926555,7.065292124985715,1509482689.809377,6.9562324994556946,17.757969247275838,15.0,15.0,4000000000.0,5.0,5.0,0,1,0.0,0.0
524,Fantom,the-story-of-draco,138.81028,10940.2336,2022-06-09,1547119540.3250446,1581084443.3125572,2022-06-01,2022Q2,1634309736.4769545,12.293263125629208,6626844273.719033,20.58659918779185,12.102548652417887,10.0,10.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
552,Optimism,bitant,139.24712,59236.80211,2021-11-29,351414428.0954047,346171389.12802935,2021-11-01,2021Q4,297984790.89679676,0.8698090723202396,135762266.7106851,0.6256407564447799,0.9195483840491823,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
302,Avalanche,the-dragons-lair,150.83851,3679508.01147,2021-09-22,2937679647.646414,2707841354.579587,2021-09-01,2021Q3,2275609310.9210134,17.697832735356588,192014292.6749633,2.7902668775830692,16.24622745067024,15.0,15.0,2000000000.0,15.0,15.0,0,1,0.0,0.0
495,Fantom,scion-finance,159.74397,46298.39599,2022-03-31,6642984935.28989,6623263147.010969,2022-03-01,2022Q1,11738761494.226648,32.30033435533891,4884712105.945583,13.84517217336593,20.811030344528593,20.0,20.0,6000000000.0,30.0,30.0,0,1,0.0,0.0
355,Fantom,babypig-finance,160.07763,590.43613,2021-12-23,4077826268.0943785,3951040039.1173663,2021-12-01,2021Q4,4656630015.342423,11.415314539489612,1509482689.809377,6.9562324994556946,11.101312699005256,10.0,10.0,4000000000.0,10.0,10.0,0,1,0.0,0.0
476,Fantom,philetairus-socius,166.0579,272494.38585,2022-03-20,6733530251.130899,6687175805.759015,2022-03-01,2022Q1,11738761494.226648,32.30033435533891,4884712105.945583,13.84517217336593,21.63203707457865,20.0,20.0,6000000000.0,30.0,30.0,0,1,0.0,0.0
692,Polygon,defi-halal,169.44688,977.29627,2021-11-01,4992540978.633669,4994130288.024624,2021-10-01,2021Q4,4548431395.171724,20.219178497538547,4383704677.116872,20.201668524484514,14.9165825479899,10.0,10.0,4000000000.0,20.0,20.0,0,1,0.0,0.0
563,Optimism,fuji-dao,174.10966,179.56509,2022-09-19,916637344.1639011,939221683.6390942,2022-09-01,2022Q3,992454682.3732527,10.867228658231118,276670114.919425,3.2049567913853583,11.582263605760465,10.0,10.0,0.0,10.0,10.0,0,1,0.0,0.0
24,Arbitrum,halodao,187.83854,3218.06578,2022-07-23,733048268.140886,729618688.241986,2022-07-01,2022Q3,740961002.1643256,8.70544403595197,746368781.1664016,8.645963423891736,7.524696995208012,5.0,5.0,0.0,5.0,5.0,0,1,0.0,0.0
352,Fantom,pearzap,221.05198000000001,1163.47276,2022-01-29,9179537260.603518,9147443674.2579,2022-01-01,2022Q1,5271454870.493362,14.49261681703181,4884712105.945583,13.84517217336593,29.403693554101608,25.0,25.0,9000000000.0,10.0,10.0,0,1,0.0,0.0
751,Polygon,hodltree,226.42504999999997,118171.04505999999,2022-04-11,4223831859.055424,4297542946.01045,2022-04-01,2022Q2,4633188148.45559,13.930247011047433,4482229770.711526,13.92425473511868,14.1109643626435,10.0,10.0,4000000000.0,10.0,10.0,0,1,0.0,0.0
539,Fantom,xmas-past,233.11159999999998,1091944.61843,2021-12-14,3632070522.1087675,3908113130.4688997,2021-12-01,2021Q4,4656630015.342423,11.415314539489612,1509482689.809377,6.9562324994556946,11.485141419066654,10.0,10.0,3000000000.0,10.0,10.0,0,1,0.0,0.0
671,Polygon,complus-network,244.96383999999998,276.31967,2022-08-29,2026545231.3334196,2066765919.7241764,2022-08-01,2022Q3,1903354267.4591086,19.648245097225356,1656330111.5348358,19.186988957176066,22.14331413243283,20.0,20.0,2000000000.0,15.0,15.0,0,1,0.0,0.0
180,Avalanche,dopex,249.835,363404.65482,2022-02-01,8774666226.174881,8530439387.256866,2022-01-01,2022Q1,11779556274.237226,32.38510042317888,11532621710.127325,32.68793118690901,26.955328209951745,25.0,25.0,8000000000.0,30.0,30.0,0,1,0.0,0.0
376,Fantom,caribou-finance,250.15283,909.2500899999999,2021-12-28,4705750776.0575075,4850045878.149032,2021-12-01,2021Q4,4656630015.342423,11.415314539489612,1509482689.809377,6.9562324994556946,12.963091654483064,10.0,10.0,4000000000.0,10.0,10.0,0,1,0.0,0.0
359,Fantom,bastilledelabouje,250.48071,1321033.41119,2022-03-01,11564869372.518951,10968425795.414244,2022-02-01,2022Q1,8661703632.385084,25.854798911634113,4884712105.945583,13.84517217336593,32.61104452806479,30.0,30.0,11000000000.0,25.0,25.0,0,1,0.0,0.0
686,Polygon,ice-colony,275.23444,225865.91490000003,2021-12-29,5571953226.0973835,5723096545.307154,2021-12-01,2021Q4,5121508472.082664,12.554922751616838,4383704677.116872,20.201668524484514,15.55088511394346,15.0,15.0,5000000000.0,10.0,10.0,0,1,0.0,0.0
493,Fantom,saddle-finance,291.64906,74995234.76566,2022-01-23,10193609999.802773,7873621387.750334,2022-01-01,2022Q1,5271454870.493362,14.49261681703181,4884712105.945583,13.84517217336593,24.768821359495202,20.0,20.0,10000000000.0,10.0,10.0,0,1,0.0,0.0
743,Polygon,mirai,297.96184,14413.99082,2021-12-28,5723096545.307154,5828964773.834262,2021-12-01,2021Q4,5121508472.082664,12.554922751616838,4383704677.116872,20.201668524484514,15.579523681290183,15.0,15.0,5000000000.0,10.0,10.0,0,1,0.0,0.0
461,Fantom,meso-finance,301.63965,6895641.84592,2021-10-04,1557465439.047618,1602817183.380625,2021-10-01,2021Q4,1589381908.926555,7.065292124985715,1509482689.809377,6.9562324994556946,6.954894435767943,5.0,5.0,1000000000.0,5.0,5.0,0,1,0.0,0.0
354,Fantom,vivelabouje,304.09266,1931477.1665,2022-01-29,9179537260.603518,9147443674.2579,2022-01-01,2022Q1,5271454870.493362,14.49261681703181,4884712105.945583,13.84517217336593,29.403693554101608,25.0,25.0,9000000000.0,10.0,10.0,0,1,0.0,0.0
64,Arbitrum,jaguarswap,315.60396,3581.1671300000003,2021-10-19,1860530993.7431626,1823161654.47509,2021-10-01,2021Q4,1099770896.9140754,4.88882037326282,1073899895.9495308,4.948912238476607,6.021862407934877,5.0,5.0,1000000000.0,0.0,0.0,0,1,0.0,0.0
384,Fantom,the-don-finance,350.04376,2719121.40229,2022-02-19,7927600497.221009,7955447573.9440565,2022-02-01,2022Q1,8661703632.385084,25.854798911634113,4884712105.945583,13.84517217336593,24.35185952267633,20.0,20.0,7000000000.0,25.0,25.0,0,1,0.0,0.0
164,Avalanche,cleopatra-dao,354.97114,213316.01315,2022-01-17,10931415671.679127,11298144513.975172,2022-01-01,2022Q1,11779556274.237226,32.38510042317888,11532621710.127325,32.68793118690901,31.07280615981598,30.0,30.0,10000000000.0,30.0,30.0,0,1,0.0,0.0
358,Fantom,salem-finance,372.72973,8984.51901,2021-12-30,4625114359.34174,4764069985.35473,2021-12-01,2021Q4,4656630015.342423,11.415314539489612,1509482689.809377,6.9562324994556946,13.343036908431488,10.0,10.0,4000000000.0,10.0,10.0,0,1,0.0,0.0
713,Polygon,tranche-finance,381.80945,112594.76958000001,2022-02-17,4652769538.378979,4875005605.746275,2022-02-01,2022Q1,4994541603.967293,14.908483862637873,5507295577.612607,15.609815650927278,14.19935839781417,10.0,10.0,4000000000.0,10.0,10.0,0,1,0.0,0.0
8,Arbitrum,arbicheems,399.23261,164805.12391,2021-12-22,1879134009.6550188,1834435213.2310119,2021-12-01,2021Q4,2043142467.7529128,5.008582138057935,1073899895.9495308,4.948912238476607,5.353056632101792,5.0,5.0,1000000000.0,5.0,5.0,0,1,0.0,0.0
416,Fantom,jetmine-dao,430.29491,43146.67131,2022-03-11,6534618258.661966,7165871598.766707,2022-03-01,2022Q1,11738761494.226648,32.30033435533891,4884712105.945583,13.84517217336593,23.554515837940198,20.0,20.0,6000000000.0,30.0,30.0,0,1,0.0,0.0
323,Avalanche,zeroshift,434.03153,491368.54415,2022-01-23,8328369342.750275,8920782037.712282,2022-01-01,2022Q1,11779556274.237226,32.38510042317888,11532621710.127325,32.68793118690901,28.062977097533697,25.0,25.0,8000000000.0,30.0,30.0,0,1,0.0,0.0
223,Avalanche,ramp,448.79118,649.25566,2022-08-26,2569764302.7114263,2500788948.921647,2022-08-01,2022Q3,2751253821.400562,28.4010761064046,2677377544.84711,31.01483999440786,25.654076294375646,25.0,25.0,2000000000.0,25.0,25.0,0,1,0.0,0.0
