,chain,protocol,current_usd_tvl,max_usd_tvl,launch_date,totalLiquidityUSD,last_day_tvl,month,quarter,start_of_month_tvl,monthly_tvl_share,start_of_quarter_tvl,quarterly_tvl_share,chains_tvl_share,chains_tvl_share_floor,chains_tvl_share_floor_sort,monthly_tvl_floor,monthly_tvl_share_floor,monthly_tvl_share_floor_sort,num_protocols_threshold,num_protocols,num_protocols_threshold_pct_chain,num_protocols_threshold_pct_share
698,Binance,welnance,0.52061,201157303.3641,2022-01-11,14465021530.912577,14398033890.684141,2022-01-01,2022Q1,16099248823.163715,30.564548964803567,15761423531.844334,30.76312509019138,30.006484305351627,30.0,30.0,14000000000.0,30.0,30.0,0,1,0.0,0.0
860,Fantom,pnetwork,0.66142,2.78079,2022-06-19,985762354.601956,1047458971.9070855,2022-06-01,2022Q2,1634309736.4769545,7.425249789329939,6626844273.719033,14.374354917435452,6.952137678255128,5.0,5.0,0.0,5.0,5.0,0,1,0.0,0.0
238,Avalanche,magnet-dao,0.66303,10299268.47726,2022-01-04,11913546744.134838,12017185158.376245,2022-01-01,2022Q1,11779556274.237226,22.36357910125342,11532621710.127325,22.509355425270332,22.613270767166284,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
200,Avalanche,galaxygoogle-dao,0.7683,72039159.55032,2021-12-06,11830210832.546284,12261660416.990335,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,23.22424870730136,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
1355,xDai,hundred-finance,0.8975500000000001,16078.60153,2022-04-29,291005111.03593117,275897538.5815392,2022-04-01,2022Q2,249208899.91429806,0.5253871501166314,246030384.32864082,0.5336669942340756,0.6774596182888217,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
305,Avalanche,tokensfarm,1.03719,1.20008,2022-09-21,1929560851.3511064,1968983540.5596638,2022-09-01,2022Q3,2186375299.0914807,13.83873604154353,2677377544.84711,18.11268357965226,13.525398726392465,10.0,10.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
1147,Polygon,infy-protocol,1.04167,1.04479,2022-09-28,1460879728.7189593,1466317704.91972,2022-09-01,2022Q3,2031969337.933902,12.861418313618017,1656330111.5348358,11.20521208203148,9.890912554286885,5.0,5.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
558,Binance,pidao-finance,1.16056,3067219.83561,2021-11-29,18867670442.921444,18454561737.903584,2021-11-01,2021Q4,19825584940.65089,36.5695731021819,17580962616.15021,44.70068262778529,32.81483540386548,30.0,30.0,18000000000.0,35.0,30.0,0,1,0.0,0.0
275,Avalanche,sashimidao,1.4406,9299.17025,2022-01-11,10682961495.609737,10904056623.608652,2022-01-01,2022Q1,11779556274.237226,22.36357910125342,11532621710.127325,22.509355425270332,22.724797456733278,20.0,20.0,10000000000.0,20.0,20.0,0,1,0.0,0.0
804,Fantom,undead-finance,1.67567,84542.80089,2021-11-09,5691790461.304922,5351115244.044952,2021-11-01,2021Q4,5129487204.437442,9.461670758311719,1509482689.809377,3.8379529109129034,8.950415472822348,5.0,5.0,5000000000.0,5.0,5.0,0,1,0.0,0.0
1022,Polygon,mama-dao,1.74424,202716.99799,2021-12-27,5828964773.834262,5660310618.56728,2021-12-01,2021Q4,5121508472.082664,8.530368937454185,4383704677.116872,11.14583972357302,10.534532816558704,10.0,10.0,5000000000.0,5.0,5.0,0,1,0.0,0.0
194,Avalanche,maximizer,1.77451,16807204.2284,2021-11-28,12612028501.866884,12189085126.132679,2021-11-01,2021Q4,8641234025.30953,15.939314795886355,3823265970.3443656,9.720889718801896,21.855083916731733,20.0,20.0,12000000000.0,15.0,15.0,0,1,0.0,0.0
901,Fantom,sushiswap-furo,2.02198,2.02198,2022-10-04,584816957.8288639,596426726.9106154,2022-10-01,2022Q4,604255362.1195278,4.074626767013682,604667825.9624206,4.064666067344282,4.046179645631322,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
254,Avalanche,octus-bridge,2.1736,4.40287,2022-04-26,10173436619.418196,10354013853.489355,2022-04-01,2022Q2,11177365080.74134,23.564342957267392,11036804006.080185,23.94004316152976,24.93715919572284,20.0,20.0,10000000000.0,20.0,20.0,0,1,0.0,0.0
1055,Polygon,securo-finance,3.05985,3.56569,2022-08-29,2026545231.3334196,2066765919.7241764,2022-08-01,2022Q3,1903354267.4591086,11.449579853148965,1656330111.5348358,11.20521208203148,12.929869762140472,10.0,10.0,2000000000.0,10.0,10.0,0,1,0.0,0.0
768,Fantom,chad-finance,3.29762,1094.20234,2021-12-27,4850045878.149032,4529590116.30913,2021-12-01,2021Q4,4656630015.342423,7.756068793524914,1509482689.809377,3.8379529109129034,8.43012317544801,5.0,5.0,4000000000.0,5.0,5.0,0,1,0.0,0.0
1186,Polygon,openbisea,3.38064,3.90074,2022-09-07,1841245248.0195594,1960041411.3698735,2022-09-01,2022Q3,2031969337.933902,12.861418313618017,1656330111.5348358,11.20521208203148,12.306346854714432,10.0,10.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
671,Binance,sushiswap-furo,3.73295,3.73295,2022-10-04,6677158079.931217,6591353683.665504,2022-10-01,2022Q4,6574233935.414332,44.331504931767725,6593371249.110499,44.321611362415055,44.715972488605985,40.0,40.0,6000000000.0,40.0,30.0,0,1,0.0,0.0
187,Avalanche,emiswap,4.47278,5.3459,2022-04-16,10311189326.662033,10277513148.289965,2022-04-01,2022Q2,11177365080.74134,23.564342957267392,11036804006.080185,23.94004316152976,24.378570385356923,20.0,20.0,10000000000.0,20.0,20.0,0,1,0.0,0.0
1078,Polygon,knit-finance,5.02003,5.04009,2021-12-04,4967363814.548608,5110503966.901051,2021-12-01,2021Q4,5121508472.082664,8.530368937454185,4383704677.116872,11.14583972357302,8.630374071581128,5.0,5.0,4000000000.0,5.0,5.0,0,1,0.0,0.0
681,Binance,tenet,5.0262,8.79912,2022-01-05,16062679819.29394,16157324828.810184,2022-01-01,2022Q1,16099248823.163715,30.564548964803567,15761423531.844334,30.76312509019138,30.36971683464832,30.0,30.0,16000000000.0,30.0,30.0,0,1,0.0,0.0
813,Fantom,ftm-frens,5.081,639.44352,2021-12-29,4764069985.35473,4705750776.0575075,2021-12-01,2021Q4,4656630015.342423,7.756068793524914,1509482689.809377,3.8379529109129034,8.741459289584661,5.0,5.0,4000000000.0,5.0,5.0,0,1,0.0,0.0
616,Binance,paladin-dao,5.67266,307790.03485,2022-01-19,14020202341.282936,14189793469.751156,2022-01-01,2022Q1,16099248823.163715,30.564548964803567,15761423531.844334,30.76312509019138,28.515763705272413,25.0,25.0,14000000000.0,30.0,30.0,0,1,0.0,0.0
220,Avalanche,tempodao,6.0076,990705.73738,2021-12-12,11357043255.269539,11403945629.365599,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,23.163102842752437,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
276,Avalanche,securo-finance,6.2757,7.63585,2022-07-28,2844519726.5097585,2744358283.173959,2022-07-01,2022Q3,2637227028.191218,17.953843738826762,2677377544.84711,18.11268357965226,16.425571779860444,15.0,15.0,2000000000.0,15.0,15.0,0,1,0.0,0.0
726,Fantom,octus-bridge,6.29772,42.51478,2022-04-26,5383483270.834873,5248942592.050083,2022-04-01,2022Q2,6914473791.623877,14.577230914251874,6626844273.719033,14.374354917435452,12.641833290869236,10.0,10.0,5000000000.0,10.0,10.0,0,1,0.0,0.0
1265,Polygon,woofi,6.38475,7.96048,2022-09-10,1785046718.2590373,1790300706.1379879,2022-09-01,2022Q3,2031969337.933902,12.861418313618017,1656330111.5348358,11.20521208203148,11.582407367187628,10.0,10.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
730,Fantom,ante-finance,6.70473,7.55235,2022-09-14,673657968.7742906,700165028.8956777,2022-09-01,2022Q3,720351675.027874,4.559490171672209,861661362.6214986,5.829211365432005,4.513310989873761,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
74,Arbitrum,opium,7.22493,472.1648,2022-03-12,1502797606.069909,1512519725.0247297,2022-03-01,2022Q1,1749011707.638956,3.594436985719295,1782578913.4949436,3.47923510767847,3.697221181713971,0.0,0.0,1000000000.0,0.0,0.0,0,1,0.0,0.0
1227,Polygon,sapphire-mine,7.95125,305.7719,2022-05-03,3520582420.5792246,3557826994.9317746,2022-05-01,2022Q2,3557826994.9317746,9.505403629803064,4482229770.711526,9.722449914994712,9.505403629803064,5.0,5.0,3000000000.0,5.0,5.0,0,1,0.0,0.0
713,Fantom,manhattan,7.964819999999999,31708.68628,2022-01-21,10441921285.819208,8284246278.750411,2022-01-01,2022Q1,5271454870.493362,10.007898025225035,4884712105.945583,9.533974468814513,16.67220516797789,15.0,15.0,10000000000.0,10.0,10.0,0,1,0.0,0.0
1363,xDai,sushiswap-furo,8.99543,8.99543,2022-10-04,109751815.151592,211220875.72049138,2022-10-01,2022Q4,212313185.6241649,1.4316744928827654,212213715.7322617,1.426531811890348,1.432929762385979,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
371,Binance,securo-finance,9.30407,9.32293,2022-07-28,6584930922.791149,6316872246.975001,2022-07-01,2022Q3,5989002739.112766,40.772227108253226,5960947850.685903,40.32631201456031,37.80783258259404,35.0,35.0,6000000000.0,40.0,30.0,0,1,0.0,0.0
889,Fantom,spade-finance,9.82603,31127.13225,2022-03-05,8839984493.098024,9992049341.197142,2022-03-01,2022Q1,11738761494.226648,24.124617518052553,4884712105.945583,9.533974468814513,22.084480044323556,20.0,20.0,8000000000.0,20.0,20.0,0,1,0.0,0.0
293,Avalanche,sushiswap-furo,9.99501,9.99501,2022-10-04,1927353105.6623056,1886135155.831539,2022-10-01,2022Q4,1914961787.30979,12.913008382766106,1925159147.2297292,12.941202961356929,12.79560645440184,10.0,10.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
273,Avalanche,revest-finance,10.44568,317.91018,2022-02-15,10584417039.271303,10453265267.264442,2022-02-01,2022Q1,9189638395.603996,20.12149111542845,11532621710.127325,22.509355425270332,22.78663894796335,20.0,20.0,10000000000.0,20.0,20.0,0,1,0.0,0.0
258,Avalanche,onx-finance,11.41239,883.25927,2022-03-08,10388933591.770275,10423886278.02237,2022-03-01,2022Q1,11135487371.69958,22.884814028420177,11532621710.127325,22.509355425270332,25.39042681458271,25.0,25.0,10000000000.0,20.0,20.0,0,1,0.0,0.0
263,Avalanche,tornadao,12.59667,937507.49968,2021-12-05,12261660416.990335,13150428015.839663,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,23.188111744149403,20.0,20.0,12000000000.0,20.0,20.0,0,1,0.0,0.0
1214,Polygon,powerbomb-finance,12.60508,12.60508,2022-10-04,1488970354.3193057,1449170545.1536596,2022-10-01,2022Q4,1478594022.9692323,9.970484601748767,1486298384.9705844,9.99111636496102,9.831223347789281,5.0,5.0,1000000000.0,5.0,5.0,0,1,0.0,0.0
758,Fantom,bouje-finance,12.898609999999998,2620288.25823,2021-10-30,5184371109.055842,5298070824.26853,2021-10-01,2021Q4,1589381908.926555,3.9305173577142583,1509482689.809377,3.8379529109129034,9.757715516963069,5.0,5.0,5000000000.0,0.0,0.0,0,1,0.0,0.0
218,Avalanche,papa-dao,13.0298,15309680.30512,2021-12-12,11357043255.269539,11403945629.365599,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,23.163102842752437,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
136,Avalanche,coup-farm,15.29956,28310.34208,2021-12-28,11949173704.161224,12149494818.309942,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,22.177001881360177,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
189,Avalanche,etha-lend,17.71296,18.22925,2022-09-28,1948671496.8029006,1948948852.0672467,2022-09-01,2022Q3,2186375299.0914807,13.83873604154353,2677377544.84711,18.11268357965226,13.146457008530998,10.0,10.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
181,Avalanche,dotoracle,18.37894,24.8196,2022-08-24,2494073167.6213956,2396378344.3835535,2022-08-01,2022Q3,2751253821.400562,16.550098351611116,2677377544.84711,18.11268357965226,14.510008389649457,10.0,10.0,2000000000.0,15.0,15.0,0,1,0.0,0.0
1121,Polygon,octus-bridge,18.95331,95.80112,2022-04-26,3903717570.0080066,3864366982.466665,2022-04-01,2022Q2,4633188148.45559,9.767779233038434,4482229770.711526,9.722449914994712,9.307147546455171,5.0,5.0,3000000000.0,5.0,5.0,0,1,0.0,0.0
716,Fantom,2omb-finance,18.96181,27265.59758,2022-01-30,8784609869.033825,9179537260.603518,2022-01-01,2022Q1,5271454870.493362,10.007898025225035,4884712105.945583,9.533974468814513,20.76342704629393,20.0,20.0,8000000000.0,10.0,10.0,0,1,0.0,0.0
589,Binance,mixswap-finance,19.59276,20.05158,2022-08-10,7000330400.850552,7119801595.375156,2022-08-01,2022Q3,6718643950.658284,40.41583415820456,5960947850.685903,40.32631201456031,40.72621267979635,40.0,40.0,7000000000.0,40.0,30.0,0,1,0.0,0.0
1019,Polygon,ante-finance,20.1346,23.21968,2022-09-08,1832797871.1775258,1841245248.0195594,2022-09-01,2022Q3,2031969337.933902,12.861418313618017,1656330111.5348358,11.20521208203148,12.111410927717888,10.0,10.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
715,Fantom,webribe-dao,23.0407,24149.28082,2022-01-21,10441921285.819208,8284246278.750411,2022-01-01,2022Q1,5271454870.493362,10.007898025225035,4884712105.945583,9.533974468814513,16.67220516797789,15.0,15.0,10000000000.0,10.0,10.0,0,1,0.0,0.0
1176,Polygon,nft20,23.65864,107.62034,2021-11-12,5047914445.25541,4969980500.611187,2021-11-01,2021Q4,5055038415.657716,9.324345154461984,4383704677.116872,11.14583972357302,8.636792489811858,5.0,5.0,5000000000.0,5.0,5.0,0,1,0.0,0.0
317,Avalanche,xdao,26.55168,4352.48502,2022-01-18,10453882237.832619,10931415671.679127,2022-01-01,2022Q1,11779556274.237226,22.36357910125342,11532621710.127325,22.509355425270332,21.415621820657922,20.0,20.0,10000000000.0,20.0,20.0,0,1,0.0,0.0
649,Binance,rubikfarm,27.169719999999998,2226.79882,2022-03-31,13578360396.244612,13580460649.5494,2022-03-01,2022Q1,12059989501.685875,24.784781098329,15761423531.844334,30.76312509019138,29.74627337462124,25.0,25.0,13000000000.0,20.0,20.0,0,1,0.0,0.0
855,Fantom,onx-finance,27.3172,277341.1385,2022-03-08,6981921609.918125,7005456434.014554,2022-03-01,2022Q1,11738761494.226648,24.124617518052553,4884712105.945583,9.533974468814513,17.063840121281533,15.0,15.0,6000000000.0,20.0,20.0,0,1,0.0,0.0
225,Avalanche,iron-finance,27.651079999999997,4264974.7496,2021-09-09,2066230375.1318336,2017735544.4299972,2021-09-01,2021Q3,2275609310.9210134,6.749832388302961,192014292.6749633,0.9288148537407415,5.810864573036335,5.0,5.0,2000000000.0,5.0,5.0,0,1,0.0,0.0
308,Avalanche,treehouse-finance,29.33839,24967.99963,2022-02-24,10359008372.695621,10437348167.2941,2022-02-01,2022Q1,9189638395.603996,20.12149111542845,11532621710.127325,22.509355425270332,24.56680572836082,20.0,20.0,10000000000.0,20.0,20.0,0,1,0.0,0.0
547,Binance,ketchup-finance,30.26957,17835.38779,2022-05-05,12197692173.077887,12227581525.618914,2022-05-01,2022Q2,12168962270.714205,32.51167027057802,13665737290.56265,29.64248892976308,32.37873349509602,30.0,30.0,12000000000.0,30.0,30.0,0,1,0.0,0.0
1245,Polygon,wan-bridge,31.34348,32.62414,2022-09-12,1746121561.539184,1776848959.5131438,2022-09-01,2022Q3,2031969337.933902,12.861418313618017,1656330111.5348358,11.20521208203148,11.360907133866407,10.0,10.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
1082,Polygon,dexpad,31.67705,37.84158,2022-06-30,1666698596.3684208,1713893508.9616148,2022-06-01,2022Q2,2480230308.705626,11.26856749743525,4482229770.711526,9.722449914994712,11.297777985995282,10.0,10.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
122,Avalanche,avalps,33.37438,468827.27412,2021-12-29,11602014041.355585,11949173704.161224,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,22.19692891738991,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
389,Binance,baksdao,39.50294,376509.92012,2022-03-17,11791679157.85896,11552028630.285412,2022-03-01,2022Q1,12059989501.685875,24.784781098329,15761423531.844334,30.76312509019138,28.250645419449388,25.0,25.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
924,Fantom,zeus-finance,41.11671,35006.2898,2022-04-21,5626838673.113849,5734198928.98234,2022-04-01,2022Q2,6914473791.623877,14.577230914251874,6626844273.719033,14.374354917435452,13.164591909643015,10.0,10.0,5000000000.0,10.0,10.0,0,1,0.0,0.0
573,Binance,oddz,41.1889,957993.74491,2021-11-28,18454561737.903584,18344854225.41926,2021-11-01,2021Q4,19825584940.65089,36.5695731021819,17580962616.15021,44.70068262778529,32.892405327220324,30.0,30.0,18000000000.0,35.0,30.0,0,1,0.0,0.0
1342,xDai,llamapay,43.24505,146.71571,2022-05-02,284832222.60245293,285864088.6544977,2022-05-01,2022Q2,284832222.60245293,0.7609828264463288,246030384.32864082,0.5336669942340756,0.779511605862484,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
147,Avalanche,tranche-finance,44.34449,141.49812,2022-02-17,11094899092.132626,10973264907.746304,2022-02-01,2022Q1,9189638395.603996,20.12149111542845,11532621710.127325,22.509355425270332,23.13048299437209,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
121,Avalanche,amogus-dao,44.7696,54036.56562,2021-12-29,11602014041.355585,11949173704.161224,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,22.19692891738991,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
313,Avalanche,vortex-dao,45.09783000000001,1729229.57873,2021-12-19,11951664464.949389,11607046777.71242,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,23.093143973116188,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
135,Avalanche,avaviking,47.98213,21797.58762,2021-12-28,11949173704.161224,12149494818.309942,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,22.177001881360177,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
647,Binance,rubic,48.18647,320231.79056,2022-01-18,14189793469.751156,14378926321.577297,2022-01-01,2022Q1,16099248823.163715,30.564548964803567,15761423531.844334,30.76312509019138,28.16960378588394,25.0,25.0,14000000000.0,30.0,30.0,0,1,0.0,0.0
913,Fantom,unifi,52.92592,96.6722,2022-07-10,882806013.9549509,880793172.4779567,2022-07-01,2022Q3,846860885.5885595,5.7653011461852115,861661362.6214986,5.829211365432005,5.693433580524658,5.0,5.0,0.0,5.0,5.0,0,1,0.0,0.0
611,Binance,openbisea,57.286,59.44,2022-09-07,6321844204.776077,6615306276.707642,2022-09-01,2022Q3,6444165832.398492,40.78856452483413,5960947850.685903,40.32631201456031,41.53496610790283,40.0,40.0,6000000000.0,40.0,30.0,0,1,0.0,0.0
67,Arbitrum,liquidrium,62.02105,41655.68654,2021-12-28,1961149296.0394242,1948203432.0584445,2021-12-01,2021Q4,2043142467.7529128,3.403051881436315,1073899895.9495308,2.730456771391697,3.556140549393029,0.0,0.0,1000000000.0,0.0,0.0,0,1,0.0,0.0
252,Avalanche,nord-finance,95.13574999999999,706793.25434,2022-04-20,11100249333.63711,11004666058.11559,2022-04-01,2022Q2,11177365080.74134,23.564342957267392,11036804006.080185,23.94004316152976,25.5478926496349,25.0,25.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
914,Fantom,zest-protocol,95.65819,45982.46831,2022-07-10,882806013.9549509,880793172.4779567,2022-07-01,2022Q3,846860885.5885595,5.7653011461852115,861661362.6214986,5.829211365432005,5.693433580524658,5.0,5.0,0.0,5.0,5.0,0,1,0.0,0.0
917,Fantom,xdao,96.41082,2075.59664,2022-01-18,7650778257.680281,7945543310.199988,2022-01-01,2022Q1,5271454870.493362,10.007898025225035,4884712105.945583,9.533974468814513,15.566030585749752,15.0,15.0,7000000000.0,10.0,10.0,0,1,0.0,0.0
631,Binance,polkaex,98.20105,493.69355,2022-05-02,12168962270.714205,11998907781.330498,2022-05-01,2022Q2,12168962270.714205,32.51167027057802,13665737290.56265,29.64248892976308,32.719352463069974,30.0,30.0,12000000000.0,30.0,30.0,0,1,0.0,0.0
1068,Polygon,cyberfantasyfembots,100.39871999999998,13623.198469999998,2021-12-29,5571953226.0973835,5723096545.307154,2021-12-01,2021Q4,5121508472.082664,8.530368937454185,4383704677.116872,11.14583972357302,10.63129303738412,10.0,10.0,5000000000.0,5.0,5.0,0,1,0.0,0.0
107,Avalanche,88mph,106.0555,7117.871379999999,2021-10-16,6758977634.298301,6612626219.720566,2021-10-01,2021Q4,4061299510.651592,10.043532100018481,3823265970.3443656,9.720889718801896,13.46016326866625,10.0,10.0,6000000000.0,10.0,10.0,0,1,0.0,0.0
383,Binance,hotpot-finance,114.52996,1026.78299,2021-12-29,16160302780.070103,16845799302.131329,2021-12-01,2021Q4,19103459012.79554,31.818663241303334,17580962616.15021,44.70068262778529,31.292959573916697,30.0,30.0,16000000000.0,30.0,30.0,0,1,0.0,0.0
790,Fantom,dopple-finance,121.80877000000001,4164.83444,2021-10-21,4486749643.753109,5432216250.454348,2021-10-01,2021Q4,1589381908.926555,3.9305173577142583,1509482689.809377,3.8379529109129034,10.677477741881455,10.0,10.0,4000000000.0,0.0,0.0,0,1,0.0,0.0
528,Binance,hexal,132.98632,77649.03389,2022-02-06,12820858468.43023,12628721138.958023,2022-02-01,2022Q1,11960419298.786104,26.18835043307555,15761423531.844334,30.76312509019138,27.085182235193095,25.0,25.0,12000000000.0,25.0,25.0,0,1,0.0,0.0
384,Binance,sunflower-finance,137.38465,144.02652,2021-12-29,16160302780.070103,16845799302.131329,2021-12-01,2021Q4,19103459012.79554,31.818663241303334,17580962616.15021,44.70068262778529,31.292959573916697,30.0,30.0,16000000000.0,30.0,30.0,0,1,0.0,0.0
907,Fantom,the-story-of-draco,138.81028,10940.2336,2022-06-09,1547119540.3250446,1581084443.3125572,2022-06-01,2022Q2,1634309736.4769545,7.425249789329939,6626844273.719033,14.374354917435452,7.323087262015666,5.0,5.0,1000000000.0,5.0,5.0,0,1,0.0,0.0
935,Optimism,bitant,139.24712,59236.80211,2021-11-29,351414428.0954047,346171389.12802935,2021-11-01,2021Q4,297984790.89679676,0.5496522108507853,135762266.7106851,0.3451839429706927,0.6155419628542306,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
302,Avalanche,the-dragons-lair,150.83851,3679508.01147,2021-09-22,2937679647.646414,2707841354.579587,2021-09-01,2021Q3,2275609310.9210134,6.749832388302961,192014292.6749633,0.9288148537407415,8.174549670324778,5.0,5.0,2000000000.0,5.0,5.0,0,1,0.0,0.0
581,Binance,mapledefi,157.85813,2092.65269,2022-05-08,11750616666.508282,12019063157.79682,2022-05-01,2022Q2,12168962270.714205,32.51167027057802,13665737290.56265,29.64248892976308,32.60345857843287,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
878,Fantom,scion-finance,159.74397,46298.39599,2022-03-31,6642984935.28989,6623263147.010969,2022-03-01,2022Q1,11738761494.226648,24.124617518052553,4884712105.945583,9.533974468814513,14.507416301050105,10.0,10.0,6000000000.0,20.0,20.0,0,1,0.0,0.0
738,Fantom,babypig-finance,160.07763,590.43613,2021-12-23,4077826268.0943785,3951040039.1173663,2021-12-01,2021Q4,4656630015.342423,7.756068793524914,1509482689.809377,3.8379529109129034,7.5641723335717534,5.0,5.0,4000000000.0,5.0,5.0,0,1,0.0,0.0
859,Fantom,philetairus-socius,166.0579,272494.38585,2022-03-20,6733530251.130899,6687175805.759015,2022-03-01,2022Q1,11738761494.226648,24.124617518052553,4884712105.945583,9.533974468814513,15.491905604876663,15.0,15.0,6000000000.0,20.0,20.0,0,1,0.0,0.0
